0.00195312	0.00195312	1.017
0.00585938	0.00195312	1.013
0.00976562	0.00195312	1.01
0.0136719	0.00195312	1.006
0.0175781	0.00195312	1.002
0.0214844	0.00195312	0.998
0.0253906	0.00195312	0.995
0.0292969	0.00195312	0.991
0.0332031	0.00195312	0.987
0.0371094	0.00195312	0.984
0.0410156	0.00195312	0.98
0.0449219	0.00195312	0.977
0.0488281	0.00195312	0.973
0.0527344	0.00195312	0.97
0.0566406	0.00195312	0.966
0.0605469	0.00195312	0.963
0.0644531	0.00195312	0.96
0.0683594	0.00195312	0.956
0.0722656	0.00195312	0.953
0.0761719	0.00195312	0.95
0.0800781	0.00195312	0.946
0.0839844	0.00195312	0.943
0.0878906	0.00195312	0.94
0.0917969	0.00195312	0.937
0.0957031	0.00195312	0.933
0.0996094	0.00195312	0.93
0.103516	0.00195312	0.927
0.107422	0.00195312	0.924
0.111328	0.00195312	0.921
0.115234	0.00195312	0.917
0.119141	0.00195312	0.914
0.123047	0.00195312	0.911
0.126953	0.00195312	0.908
0.130859	0.00195312	0.905
0.134766	0.00195312	0.902
0.138672	0.00195312	0.899
0.142578	0.00195312	0.895
0.146484	0.00195312	0.892
0.150391	0.00195312	0.889
0.154297	0.00195312	0.886
0.158203	0.00195312	0.883
0.162109	0.00195312	0.879
0.166016	0.00195312	0.876
0.169922	0.00195312	0.873
0.173828	0.00195312	0.87
0.177734	0.00195312	0.866
0.181641	0.00195312	0.863
0.185547	0.00195312	0.86
0.189453	0.00195312	0.856
0.193359	0.00195312	0.853
0.197266	0.00195312	0.85
0.201172	0.00195312	0.846
0.205078	0.00195312	0.843
0.208984	0.00195312	0.839
0.212891	0.00195312	0.836
0.216797	0.00195312	0.832
0.220703	0.00195312	0.828
0.224609	0.00195312	0.825
0.228516	0.00195312	0.821
0.232422	0.00195312	0.817
0.236328	0.00195312	0.814
0.240234	0.00195312	0.81
0.244141	0.00195312	0.806
0.248047	0.00195312	0.802
0.251953	0.00195312	0.798
0.255859	0.00195312	0.794
0.259766	0.00195312	0.79
0.263672	0.00195312	0.786
0.267578	0.00195312	0.782
0.271484	0.00195312	0.778
0.275391	0.00195312	0.773
0.279297	0.00195312	0.769
0.283203	0.00195312	0.765
0.287109	0.00195312	0.76
0.291016	0.00195312	0.756
0.294922	0.00195312	0.751
0.298828	0.00195312	0.747
0.302734	0.00195312	0.742
0.306641	0.00195312	0.738
0.310547	0.00195312	0.733
0.314453	0.00195312	0.728
0.318359	0.00195312	0.723
0.322266	0.00195312	0.718
0.326172	0.00195312	0.714
0.330078	0.00195312	0.709
0.333984	0.00195312	0.704
0.337891	0.00195312	0.699
0.341797	0.00195312	0.694
0.345703	0.00195312	0.689
0.349609	0.00195312	0.683
0.353516	0.00195312	0.678
0.357422	0.00195312	0.673
0.361328	0.00195312	0.668
0.365234	0.00195312	0.663
0.369141	0.00195312	0.658
0.373047	0.00195312	0.653
0.376953	0.00195312	0.647
0.380859	0.00195312	0.642
0.384766	0.00195312	0.637
0.388672	0.00195312	0.632
0.392578	0.00195312	0.627
0.396484	0.00195312	0.622
0.400391	0.00195312	0.616
0.404297	0.00195312	0.611
0.408203	0.00195312	0.606
0.412109	0.00195312	0.601
0.416016	0.00195312	0.596
0.419922	0.00195312	0.591
0.423828	0.00195312	0.586
0.427734	0.00195312	0.581
0.431641	0.00195312	0.576
0.435547	0.00195312	0.572
0.439453	0.00195312	0.567
0.443359	0.00195312	0.562
0.447266	0.00195312	0.557
0.451172	0.00195312	0.553
0.455078	0.00195312	0.548
0.458984	0.00195312	0.543
0.462891	0.00195312	0.539
0.466797	0.00195312	0.535
0.470703	0.00195312	0.53
0.474609	0.00195312	0.526
0.478516	0.00195312	0.522
0.482422	0.00195312	0.517
0.486328	0.00195312	0.513
0.490234	0.00195312	0.509
0.494141	0.00195312	0.505
0.498047	0.00195312	0.501
0.501953	0.00195312	0.497
0.505859	0.00195312	0.493
0.509766	0.00195312	0.489
0.513672	0.00195312	0.485
0.517578	0.00195312	0.481
0.521484	0.00195312	0.478
0.525391	0.00195312	0.474
0.529297	0.00195312	0.47
0.533203	0.00195312	0.467
0.537109	0.00195312	0.463
0.541016	0.00195312	0.46
0.544922	0.00195312	0.456
0.548828	0.00195312	0.453
0.552734	0.00195312	0.449
0.556641	0.00195312	0.446
0.560547	0.00195312	0.442
0.564453	0.00195312	0.439
0.568359	0.00195312	0.436
0.572266	0.00195312	0.432
0.576172	0.00195312	0.429
0.580078	0.00195312	0.426
0.583984	0.00195312	0.423
0.587891	0.00195312	0.419
0.591797	0.00195312	0.416
0.595703	0.00195312	0.413
0.599609	0.00195312	0.41
0.603516	0.00195312	0.407
0.607422	0.00195312	0.404
0.611328	0.00195312	0.401
0.615234	0.00195312	0.397
0.619141	0.00195312	0.394
0.623047	0.00195312	0.391
0.626953	0.00195312	0.388
0.630859	0.00195312	0.385
0.634766	0.00195312	0.382
0.638672	0.00195312	0.379
0.642578	0.00195312	0.376
0.646484	0.00195312	0.373
0.650391	0.00195312	0.369
0.654297	0.00195312	0.366
0.658203	0.00195312	0.363
0.662109	0.00195312	0.36
0.666016	0.00195312	0.357
0.669922	0.00195312	0.354
0.673828	0.00195312	0.351
0.677734	0.00195312	0.347
0.681641	0.00195312	0.344
0.685547	0.00195312	0.341
0.689453	0.00195312	0.338
0.693359	0.00195312	0.334
0.697266	0.00195312	0.331
0.701172	0.00195312	0.328
0.705078	0.00195312	0.324
0.708984	0.00195312	0.321
0.712891	0.00195312	0.318
0.716797	0.00195312	0.314
